filename,mfcc_mean,mfcc_std,chroma_mean,chroma_std,contrast_mean,contrast_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std,rms_mean,rms_std,pitch_mean,pitch_min,pitch_max,jitter,shimmer,hnr,formants,speech_rate,pauses
1001_DFA_ANG_XX.wav,"[-306.02740478515625, 92.67023468017578, 8.491312980651855, 23.965402603149414, 7.477992534637451, -5.759455680847168, -11.883088111877441, -9.676735877990723, -3.9967470169067383, -13.35256290435791, 0.4081971347332001, -9.70948600769043, -6.127124309539795]","[159.3903350830078, 28.411352157592773, 32.85379409790039, 18.576995849609375, 17.579238891601562, 18.02971649169922, 15.681949615478516, 16.126401901245117, 6.8317484855651855, 7.567708492279053, 7.51952600479126, 7.945255756378174, 6.32287073135376]","[0.3749140501022339, 0.3794928193092346, 0.4172210991382599, 0.39018237590789795, 0.41484010219573975, 0.2977837324142456, 0.2889886498451233, 0.3575553894042969, 0.3519062399864197, 0.4291849136352539, 0.6879575848579407, 0.5454906821250916]","[0.2734416425228119, 0.2470550537109375, 0.2940618395805359, 0.21942494809627533, 0.29432860016822815, 0.2434716522693634, 0.2514791786670685, 0.30735379457473755, 0.2645810544490814, 0.21171817183494568, 0.30525457859039307, 0.3015269935131073]","[21.877362589682598, 15.233390845222187, 18.63693664828368, 16.714029661950633, 18.89369187729878, 18.224082386961086, 14.604480666584541]","[5.265767617406439, 4.573838283010822, 4.485400870765067, 3.696039741525841, 3.5003235338659384, 3.494622036630628, 1.5393906643501]","[0.011070495058010566, 0.013209863714538448, -0.037891591148865304, -0.056402025640839196, 0.008511969472954633, 0.006920123149433973]","[0.04748758576294192, 0.037082047090107775, 0.08169021330913898, 0.0667384283200243, 0.027027532343039742, 0.02885824633178351]",0.10186767578125,0.062061276662080396,0.041986194,0.048555557,162.4754912237851,89.32375097690334,513.709087324126,0.04473838535110768,0.199902900939429,3.817988622522077,"[816.0305410932682, 2509.904161975568, 3482.997805008162]",7.9787234042553195,0.7638888888888888
1001_DFA_DIS_XX.wav,"[-346.3996276855469, 95.83911895751953, 10.51628303527832, 31.61921501159668, 15.872088432312012, -6.845447063446045, -6.629935264587402, -4.978727340698242, -5.310654163360596, -10.283517837524414, -2.5343666076660156, -7.25538969039917, -6.153906345367432]","[119.25174713134766, 25.67554473876953, 28.204397201538086, 14.320619583129883, 12.143048286437988, 18.598600387573242, 11.748957633972168, 11.235706329345703, 8.138175010681152, 5.869258880615234, 7.011021137237549, 6.493067741394043, 4.568404674530029]","[0.47289878129959106, 0.4768194854259491, 0.33598944544792175, 0.3461076021194458, 0.3682864308357239, 0.30004194378852844, 0.31855055689811707, 0.32746008038520813, 0.3534568250179291, 0.5397501587867737, 0.729738712310791, 0.5184310674667358]","[0.2971403896808624, 0.31011104583740234, 0.21584488451480865, 0.24387454986572266, 0.2815805971622467, 0.2108522355556488, 0.2643778324127197, 0.23077650368213654, 0.22214865684509277, 0.2255266159772873, 0.27553310990333557, 0.29324105381965637]","[19.83045015007408, 14.05893671189149, 17.60303188845856, 15.752573596133466, 17.801305657938624, 17.213798307282445, 14.83961915714482]","[4.705311371813857, 3.755783357093487, 3.884541961622146, 2.8330435061222143, 2.954607731260416, 2.4883008918108542, 1.645946060900695]","[-0.014448447354943654, -0.02198311039095217, -0.030781719119173698, -0.04286684894500584, 0.014467197114908077, 0.0001585384677739291]","[0.035404426354498315, 0.04488924218263093, 0.05125561571460247, 0.05869172157115329, 0.017917893034620023, 0.02055800237728917]",0.09306105522260275,0.06440668382999176,0.015996357,0.015574043,239.16202886052872,75.38754583067298,583.7547407772605,0.05937553280350208,0.21927148093129253,1.15964319203458,"[298.434056704825, 1645.6960012459438, 2752.0761071872]",8.413461538461538,0.7671232876712328
1001_DFA_FEA_XX.wav,"[-321.4202575683594, 94.76091003417969, 8.155397415161133, 23.3232421875, 11.719156265258789, -7.116331100463867, -8.53480339050293, -4.9969658851623535, -4.9944000244140625, -13.706509590148926, -3.3574137687683105, -8.45417308807373, -6.561940670013428]","[164.9805145263672, 22.24911117553711, 32.150299072265625, 17.628511428833008, 14.490704536437988, 19.071834564208984, 14.264280319213867, 10.30260944366455, 6.190023422241211, 9.073347091674805, 6.163700580596924, 5.754076957702637, 5.820578098297119]","[0.32726725935935974, 0.3993504047393799, 0.3521559238433838, 0.3824801445007324, 0.33062878251075745, 0.33201631903648376, 0.3785933256149292, 0.44625771045684814, 0.42152488231658936, 0.5625905394554138, 0.6746664643287659, 0.3532496690750122]","[0.2167094498872757, 0.28707313537597656, 0.24584457278251648, 0.25820425152778625, 0.22364754974842072, 0.2581833004951477, 0.3000102937221527, 0.29915696382522583, 0.26193538308143616, 0.28145840764045715, 0.3119485676288605, 0.2073693573474884]","[21.525469855185836, 14.88454374210006, 18.161858790988976, 16.111810303384917, 18.462013508430154, 16.96063672424914, 14.897810362486783]","[6.046902186777792, 3.3785445413075323, 4.615916721497519, 3.4171518474798903, 3.000400334421478, 2.555596884358885, 1.616373134503105]","[-0.008470842320109539, 0.03643704676889516, -0.02880639366476899, -0.036944417666425346, 0.01899740297350115, 0.006021594505428504]","[0.052131512264478125, 0.04470891458398145, 0.09971880413341624, 0.04746077550228902, 0.022236708683647508, 0.031247650903390187]",0.08428596047794118,0.05602363399677555,0.045776337,0.06139765,204.20367560354214,154.67077229497735,234.78139010887736,0.029659937704318306,0.185594756045488,4.672925548080042,"[1008.3516697019455, 2503.7626941546023, 4100.474140146575]",13.671874999999996,0.8235294117647058
1001_DFA_HAP_XX.wav,"[-303.3037414550781, 92.52889251708984, 4.231231212615967, 27.97013282775879, 10.869824409484863, -11.878344535827637, -10.095111846923828, -7.149730682373047, -7.651759624481201, -17.085899353027344, -0.20102493464946747, -8.867323875427246, -9.357766151428223]","[155.75238037109375, 22.15380859375, 28.15279769897461, 16.78725814819336, 18.215097427368164, 18.28511619567871, 13.79811954498291, 13.80722427368164, 8.562480926513672, 8.913039207458496, 7.801075458526611, 6.960529804229736, 5.726817607879639]","[0.31508728861808777, 0.3147837817668915, 0.30918237566947937, 0.34237849712371826, 0.3556819558143616, 0.44460931420326233, 0.35681450366973877, 0.28889647126197815, 0.33943989872932434, 0.510473906993866, 0.7176172733306885, 0.4428790211677551]","[0.2531968951225281, 0.23600658774375916, 0.22610606253147125, 0.2804166376590729, 0.2591106593608856, 0.33717188239097595, 0.2748548090457916, 0.24374468624591827, 0.263729989528656, 0.2996976375579834, 0.3321097493171692, 0.30038633942604065]","[21.017157983297498, 16.770549489452137, 17.78657441482918, 15.719756605127287, 19.22936846582496, 17.731477422762946, 14.610380490005493]","[6.269030728501369, 4.625037290390836, 4.162039676267344, 2.865325039352753, 3.084600287270458, 3.3513249087220176, 1.6661966851127634]","[-0.0034713399099286332, 0.02538214582234098, -0.04646023454428777, -0.03358171043633466, -0.004773980574912503, 0.0027052434555934184]","[0.05377001850674066, 0.046987568083449886, 0.08941858661283307, 0.07640408768485807, 0.031576272379464865, 0.02688394717318949]",0.0848781779661017,0.05086625823820309,0.042300183,0.04808547,194.4187052371829,117.64291963093414,506.00301620619655,0.04836234487222814,0.21545550748687586,3.319763663575196,"[559.1913922004805, 1216.4484747584468, 2549.5358605285123]",5.514705882352941,0.7457627118644068
1001_DFA_NEU_XX.wav,"[-335.49591064453125, 100.393310546875, 9.38493537902832, 30.160905838012695, 11.466774940490723, -3.333669900894165, -8.350987434387207, -9.757345199584961, -6.079326629638672, -12.109532356262207, 1.537680745124817, -9.795645713806152, -3.472060203552246]","[107.47100067138672, 25.01470947265625, 24.072786331176758, 13.558440208435059, 15.90468978881836, 15.136311531066895, 16.390064239501953, 11.898174285888672, 8.531512260437012, 8.518359184265137, 9.854458808898926, 7.8239850997924805, 7.439857006072998]","[0.41127046942710876, 0.3626940846443176, 0.3349767029285431, 0.32547351717948914, 0.30179718136787415, 0.2927215099334717, 0.32066527009010315, 0.35993102192878723, 0.3981371521949768, 0.6154307126998901, 0.6183602809906006, 0.47388800978660583]","[0.24882175028324127, 0.25121793150901794, 0.25448811054229736, 0.26038646697998047, 0.2674761414527893, 0.2570698857307434, 0.26651832461357117, 0.2583365738391876, 0.2607766389846802, 0.30723440647125244, 0.27086660265922546, 0.323566198348999]","[19.67128170094884, 14.50987196980296, 17.791213356777476, 15.989592751785988, 18.47257238358541, 18.171643153492955, 14.501907897613503]","[4.935267361420958, 3.72595241988148, 4.224096331564908, 3.285726472795684, 3.4749820454411053, 3.153556517060409, 1.583995297761452]","[0.01845523010333376, 0.004685898417522379, -0.024578505486716043, -0.03654692482086891, 0.010924988174386262, 0.006344170127704359]","[0.031708507796314976, 0.05066709936409761, 0.09122332839059157, 0.05938290855691279, 0.026021462452679365, 0.03123680847911773]",0.08203125,0.042621247738887,0.020449637,0.022512903,138.4861886233791,75.83876144877655,234.7931710485445,0.04662628392267634,0.20825002742242807,2.652138260226453,"[611.0703286513271, 2118.781209648392, 2732.1676408901867]",10.416666666666668,0.65625
1001_DFA_SAD_XX.wav,"[-365.18560791015625, 97.09255981445312, 15.737348556518555, 34.22102737426758, 18.32343864440918, -4.581418514251709, -6.389639377593994, -4.885023593902588, -4.770392894744873, -10.993267059326172, -1.711134672164917, -8.973212242126465, -5.371083736419678]","[103.04676818847656, 27.13666534423828, 23.611780166625977, 15.302604675292969, 10.936809539794922, 17.188222885131836, 13.250131607055664, 10.409443855285645, 5.681999683380127, 5.975795745849609, 7.606881618499756, 5.680665493011475, 4.793092727661133]","[0.3902575969696045, 0.3529869616031647, 0.3518374562263489, 0.3967135548591614, 0.3296273648738861, 0.25399911403656006, 0.3232709765434265, 0.5074018239974976, 0.6106066107749939, 0.7933937311172485, 0.4864427149295807, 0.33015501499176025]","[0.2457161545753479, 0.22082282602787018, 0.2302607148885727, 0.2714192867279053, 0.24727211892604828, 0.1434686928987503, 0.18558138608932495, 0.2776055634021759, 0.24912278354167938, 0.2685157060623169, 0.23402416706085205, 0.20225241780281067]","[20.87817910591663, 14.451263127739008, 17.095616280030384, 15.984342520881619, 17.92251827840905, 17.095291767681335, 15.002325585689231]","[5.4456303969975774, 3.6595549944918755, 3.627515362261823, 3.4334805098767758, 3.0632576259550492, 2.704685788472222, 1.6630376381769965]","[-0.031215234502095273, 0.012093626833519142, -0.034098651851454054, 0.006025437383897133, 0.01486938655954662, -0.00656617731447248]","[0.032017943355983146, 0.03467894171634096, 0.04496796195298861, 0.06801467403768871, 0.02656358452464935, 0.02004190954256986]",0.08702256944444445,0.05906607616926306,0.01245468,0.010964801,127.24333073138486,77.27180632422126,239.32598682198508,0.08499781436581347,0.31795019518916295,1.6350610711534757,"[391.54910551729466, 1366.8622804338006, 2619.0707249145717]",8.445945945945946,0.746031746031746
1001_IEO_ANG_HI.wav,"[-270.1803283691406, 92.6446762084961, 4.134922027587891, 10.847631454467773, -8.362822532653809, 0.5843760371208191, -7.60050630569458, -11.471553802490234, -4.967711925506592, -15.289151191711426, 6.568862438201904, -13.339165687561035, -6.8789286613464355]","[142.89968872070312, 28.764816284179688, 34.00632095336914, 28.07935905456543, 36.2660026550293, 13.593011856079102, 15.313729286193848, 17.67085075378418, 8.027694702148438, 10.705791473388672, 11.001723289489746, 8.477566719055176, 8.279736518859863]","[0.36640259623527527, 0.46762728691101074, 0.3779183030128479, 0.4021192491054535, 0.36423423886299133, 0.2877543270587921, 0.2181083858013153, 0.2855418920516968, 0.37128764390945435, 0.5883911848068237, 0.5302912592887878, 0.35551396012306213]","[0.22547459602355957, 0.33252251148223877, 0.2676831781864166, 0.3141327500343323, 0.26806968450546265, 0.2581373155117035, 0.16460053622722626, 0.21592041850090027, 0.2457381635904312, 0.365924209356308, 0.3283780813217163, 0.2614220082759857]","[23.65171696704977, 16.205575970512847, 18.2744909144585, 17.70388542595012, 18.15729747036469, 20.172084527814604, 14.31720296903843]","[5.496814837614753, 3.7662212607622045, 4.951672461498818, 4.133624190036373, 3.074057620667754, 5.1651446472276765, 2.0346231708274978]","[0.007193656831840136, 0.00437176257330761, -0.041338849629535504, -0.024343350688454113, 0.0077717122400779584, -0.004709036219254324]","[0.04273886505552817, 0.06622785583767453, 0.11134855414613797, 0.06202477585957622, 0.02682155668639545, 0.03194605519825235]",0.11688332479508197,0.07465965110965832,0.04982936,0.051828314,186.69515159217033,140.385906420234,372.71666740082344,0.030005614360978598,0.19267723810137305,4.77231378902577,"[405.72439450245156, 835.8155943391922, 3235.766291034262]",8.463541666666668,0.6557377049180327
1001_IEO_ANG_LO.wav,"[-360.06622314453125, 109.19343566894531, 12.335655212402344, 22.731332778930664, 6.942800045013428, 1.8647584915161133, -4.8600945472717285, -5.740464687347412, -3.9267449378967285, -12.500737190246582, 2.2256698608398438, -8.597421646118164, -7.158304214477539]","[110.90473175048828, 19.370698928833008, 25.018030166625977, 14.903253555297852, 29.06951141357422, 6.513460636138916, 9.52413272857666, 13.530448913574219, 7.992127895355225, 4.843161106109619, 11.42045783996582, 8.962567329406738, 6.409755229949951]","[0.45568469166755676, 0.473334401845932, 0.3549365699291229, 0.3180886209011078, 0.2939837574958801, 0.33180129528045654, 0.3669458329677582, 0.43533486127853394, 0.4451659619808197, 0.7479194402694702, 0.5920436382293701, 0.36046695709228516]","[0.2784028947353363, 0.2761700749397278, 0.22501668334007263, 0.2314041703939438, 0.20223663747310638, 0.2686437666416168, 0.27707672119140625, 0.2707673907279968, 0.23808985948562622, 0.29353493452072144, 0.29668179154396057, 0.2380877286195755]","[21.42613973297788, 14.696424739076374, 16.635846787075305, 16.152267292569608, 17.407536331880546, 17.400282676224855, 14.807226313226138]","[4.928883183746812, 3.3228662399927313, 3.05620048331539, 3.36243828302779, 2.335305232902534, 5.30899515187454, 2.439960812149255]","[0.0018388050568539753, -0.002640468577782094, -0.05177680076314901, -0.049167154843991125, 0.02133993449864987, -0.004895056784152881]","[0.06143558418415664, 0.034726237304495505, 0.054046628735699535, 0.061804084496740255, 0.026742486744957182, 0.017816601073094233]",0.07794471153846154,0.042588613763173876,0.016672034,0.019396372,142.20535808606843,76.24276858396652,238.29641422437868,0.047310864800821646,0.17660047922557767,2.867474319438538,"[407.4233092022837, 1547.9820650361867, 2598.298858520806]",7.812500000000001,0.7076923076923077
1001_IEO_ANG_MD.wav,"[-333.4996643066406, 107.17393493652344, 10.298349380493164, 18.224262237548828, 0.7590174674987793, 2.7953925132751465, -5.992715835571289, -13.53823184967041, -3.927396535873413, -11.003769874572754, 6.022344589233398, -13.519104957580566, -6.353114128112793]","[110.31542205810547, 30.490358352661133, 30.638540267944336, 22.070575714111328, 32.989479064941406, 11.052898406982422, 10.6563138961792, 17.773313522338867, 7.484878063201904, 9.923164367675781, 14.067337036132812, 7.582911491394043, 7.061143398284912]","[0.3571552038192749, 0.42626750469207764, 0.29523298144340515, 0.3123053312301636, 0.38480669260025024, 0.35032719373703003, 0.3308747112751007, 0.3195889890193939, 0.335025817155838, 0.5960654616355896, 0.6592088937759399, 0.3438888490200043]","[0.2535560429096222, 0.3042634427547455, 0.24401821196079254, 0.24556785821914673, 0.3012584447860718, 0.26156938076019287, 0.24358075857162476, 0.2578986585140228, 0.21251685917377472, 0.3212510347366333, 0.3404023349285126, 0.25148317217826843]","[20.984759480161944, 15.613334773634763, 18.47831575076115, 17.10623689169509, 17.454933879839356, 18.8818961755773, 14.43636569533819]","[5.128888711218999, 3.640410682878951, 4.126445424620413, 4.5201782557305314, 2.987066540267, 5.172253653259774, 1.9760194833570555]","[-0.0017522593671734968, 0.011381607390464697, -0.08090632289917413, -0.022491167602410427, 0.018919136790128438, 0.008843440725187673]","[0.047155081613193386, 0.050022566238458716, 0.06401329908673851, 0.07281335783370721, 0.022233759340436456, 0.028156898606500343]",0.10023884600903614,0.08115621144312751,0.021257356,0.01870756,147.73226952551298,91.49434272255428,386.83270902258283,0.04107408156092888,0.2366797876201542,3.748211126756909,"[416.6183325345254, 1812.2197659602473, 3103.0610892899876]",8.246527777777779,0.7228915662650602
1001_IEO_DIS_HI.wav,"[-314.37982177734375, 94.22846984863281, 3.8098673820495605, 21.989120483398438, -0.46367427706718445, -0.9600560665130615, -8.169246673583984, -8.779708862304688, -1.5632715225219727, -11.453566551208496, 2.1685423851013184, -9.735218048095703, -4.77112340927124]","[134.02415466308594, 25.28558349609375, 31.78611183166504, 21.276145935058594, 35.196163177490234, 12.903271675109863, 10.664092063903809, 16.868528366088867, 8.595892906188965, 6.887903213500977, 10.931270599365234, 5.0492143630981445, 6.603302478790283]","[0.49169430136680603, 0.4883342683315277, 0.39319300651550293, 0.33175578713417053, 0.3878360092639923, 0.33591726422309875, 0.3447888195514679, 0.42906489968299866, 0.5353028774261475, 0.535566508769989, 0.605725109577179, 0.48054033517837524]","[0.2905523478984833, 0.23503945767879486, 0.24440309405326843, 0.17490831017494202, 0.2733035981655121, 0.23341979086399078, 0.2475566864013672, 0.2541237473487854, 0.29884958267211914, 0.28635409474372864, 0.33611923456192017, 0.2836592197418213]","[20.357261164083624, 15.420519120767352, 17.171981140220435, 16.08930376723594, 17.34676596027285, 18.686365670537253, 14.944013272189713]","[3.9949302713861803, 3.6385000142936583, 4.441454565199753, 3.0443808314716723, 2.189782950126677, 4.5440364536127404, 2.531042020739004]","[-0.003874473913665776, -0.0008056929149869649, -0.03413964878945174, 0.004591272700400032, 0.014187744287946398, -0.002756947651505395]","[0.03446272738055859, 0.04553280116089234, 0.059809212055658284, 0.05167781966825786, 0.020960315814129916, 0.022137170609150835]",0.10757688492063493,0.06367192168107935,0.029184353,0.034017157,158.89770938284755,107.2738467997171,217.53520684955527,0.03416711345746098,0.18995563267540824,2.9170588805127755,"[1449.0670125946183, 2817.4328341449022, 4093.837885586427]",9.046052631578947,0.6825396825396826
